athlete_id,name,age,gender,location,nationality,latitude,longitude,primary_sport,secondary_sport,competition_level,years_training,height_cm,weight_kg,bmi,estimated_vo2max,social_network_size,coaching_support,training_partners,career_status,communication_preference,personality_score
ATH_0161,Vikram Durand,24,Male,"Glasgow, UK",UK,55.8,-4.2,Cycling,,Intermediate,3,172,78,26.4,51,37,1,1,Active,Text-focused,0.9
ATH_0162,Hiroshi Thompson,34,Male,"Hyderabad, India",India,17.3,78.4,Skiing,,Intermediate,6,174,81,26.8,46,31,1,0,Active,Text-focused,3.9
ATH_0163,Paul Allen,51,Male,"Turin, Italy",Italy,45.0,7.6,Hiking,,Advanced,15,174,69,22.8,58,19,1,1,Active,Text-focused,2.6
ATH_0164,Li Fischer,25,Female,"Beijing, China",China,39.9,116.4,Hiking,Rowing,Beginner,1,170,71,24.6,37,152,1,6,Active,Mixed,9.4
ATH_0165,Sara Rodriguez,36,Female,"Los Angeles, USA",USA,34.0,-118.2,Running,Hiking,Elite Amateur,16,165,64,23.5,51,19,1,1,Active,App-based,5.9
ATH_0166,Jing Hernandez,26,Female,"São Paulo, Brazil",Brazil,-23.5,-46.6,Swimming,,Advanced,9,181,50,15.3,45,20,1,0,Active,App-based,4.5
ATH_0167,Kavya Anderson,18,Female,"Pune, India",India,18.5,73.8,Climbing,,Intermediate,3,163,61,23.0,47,75,0,1,Retired,App-based,3.1
ATH_0168,Sara Taylor,38,Female,"Naples, Italy",Italy,40.8,14.2,Boxing,,Beginner,2,164,57,21.2,37,47,0,0,Active,App-based,3.4
ATH_0169,Carlos King,30,Male,"Manchester, UK",UK,53.4,-2.2,Cycling,,Intermediate,7,187,64,18.3,49,53,1,0,Active,App-based,1.1
ATH_0170,Luca Suzuki,46,Male,"Mumbai, India",India,19.0,72.8,Boxing,,Advanced,10,179,84,26.2,48,61,1,0,Active,Voice-focused,6.1
ATH_0171,Yang Kato,32,Male,"Gothenburg, Sweden",Sweden,57.7,11.9,Running,,Intermediate,5,172,90,30.4,47,15,0,1,Active,App-based,2.0
ATH_0172,Inès Allen,33,Female,"Munich, Germany",Germany,48.1,11.5,Triathlon,,Advanced,6,171,64,21.9,46,48,1,2,Active,Text-focused,4.4
ATH_0173,Pierre Torres,48,Male,"Jacksonville, USA",USA,30.3,-81.6,Rugby,,Advanced,11,183,76,22.7,52,30,1,2,Active,Voice-focused,8.2
ATH_0174,Dorothy Young,23,Female,"Rotterdam, Netherlands",Netherlands,51.9,4.4,Volleyball,,Beginner,3,165,70,25.7,41,37,1,0,Active,Voice-focused,6.9
ATH_0175,Mohammed Singh,32,Male,"Leeds, UK",UK,53.8,-1.5,Triathlon,Boxing,Intermediate,6,157,69,28.0,50,26,1,1,Active,Email-focused,0.5
ATH_0176,Mei Yang,23,Female,"Shanghai, China",China,31.2,121.4,Football,,Advanced,6,153,62,26.5,48,39,1,2,Active,Email-focused,2.1
ATH_0177,Jessica Kato,18,Female,"Madrid, Spain",Spain,40.4,-3.7,Basketball,,Intermediate,3,173,75,25.1,42,57,0,0,Active,Voice-focused,7.4
ATH_0178,Layla Thomas,24,Female,"Philadelphia, USA",USA,39.9,-75.1,Boxing,Football,Intermediate,8,166,61,22.1,43,23,0,0,Active,App-based,1.1
ATH_0179,Andrea Marino,22,Male,"Seville, Spain",Spain,37.3,-5.9,Boxing,,Intermediate,3,171,63,21.5,51,39,1,2,Active,Email-focused,0.5
ATH_0180,Camille Yang,21,Female,"Brisbane, Australia",Australia,-27.4,153.0,Boxing,,Intermediate,4,157,60,24.3,44,42,1,0,Active,Voice-focused,6.9
ATH_0181,Youssef Sasaki,54,Male,"Singapore, Singapore",Singapore,1.3,103.8,Cycling,,Intermediate,4,200,77,19.2,51,23,0,0,Active,Text-focused,2.1
ATH_0182,Luis White,59,Male,"Valencia, Spain",Spain,39.4,-0.3,Skiing,,Intermediate,7,165,63,23.1,45,49,0,1,Active,Email-focused,2.6
ATH_0183,Jing White,54,Female,"Toronto, Canada",Canada,43.6,-79.3,Hiking,,Intermediate,7,167,62,22.2,39,35,0,0,Active,Mixed,7.0
ATH_0184,Emily Romano,25,Female,"Berlin, Germany",Germany,52.5,13.4,Rugby,Swimming,Intermediate,3,166,45,16.3,48,17,1,0,Active,Mixed,6.2
ATH_0185,Emma Dubois,35,Female,"Copenhagen, Denmark",Denmark,55.6,12.5,Skiing,,Elite Amateur,19,173,86,28.7,49,52,1,1,Active,App-based,4.8
ATH_0186,Raj Sasaki,45,Male,"St Petersburg, Russia",Russia,59.9,30.3,Boxing,Basketball,Elite Amateur,19,188,79,22.4,60,55,0,1,Active,App-based,3.6
ATH_0187,Olivier Robert,37,Male,"Helsinki, Finland",Finland,60.1,24.9,Triathlon,,Advanced,11,172,80,27.0,54,23,1,1,Active,App-based,0.3
ATH_0188,Mariam Hoffmann,31,Female,"Busan, South Korea",South Korea,35.1,129.0,Rugby,,Advanced,9,170,70,24.2,48,86,0,2,Active,Voice-focused,9.9
ATH_0189,Carlos Watanabe,31,Male,"San Jose, USA",USA,37.3,-121.8,Cycling,Football,Intermediate,7,160,69,27.0,46,115,1,2,Active,Mixed,8.4
ATH_0190,Julie Watanabe,33,Female,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Triathlon,Skiing,Beginner,2,165,69,25.3,34,5,1,0,Active,Text-focused,1.4
ATH_0191,Linda Ramirez,26,Female,"Frankfurt, Germany",Germany,50.1,8.6,Rowing,,Advanced,8,151,45,19.7,44,90,0,2,Active,Voice-focused,7.0
ATH_0192,Ravi Garcia,27,Male,"Milan, Italy",Italy,45.4,9.1,Rugby,,Intermediate,3,172,79,26.7,53,65,1,2,Active,Email-focused,3.9
ATH_0193,Markus Shah,21,Male,"Mexico City, Mexico",Mexico,19.4,-99.1,Hiking,,Advanced,6,171,50,17.1,58,22,0,0,Active,Email-focused,1.8
ATH_0194,Ashley Kobayashi,48,Female,"Chennai, India",India,13.0,80.2,Triathlon,Volleyball,Elite Amateur,12,174,87,28.7,49,94,1,1,Active,Voice-focused,7.5
ATH_0195,Francesca Kumar,21,Female,"Santiago, Chile",Chile,-33.4,-70.6,Rowing,Climbing,Advanced,6,161,70,27.0,44,57,1,3,Active,Voice-focused,6.4
ATH_0196,Betty Ferrari,47,Female,"London, UK",UK,51.5,-0.1,Boxing,,Intermediate,6,167,45,16.1,44,23,0,1,Active,Text-focused,2.8
ATH_0197,Barbara Kumar,42,Female,"Helsinki, Finland",Finland,60.1,24.9,Rowing,,Elite Amateur,15,164,59,21.9,51,89,1,2,Active,App-based,3.8
ATH_0198,Chloé Reddy,29,Female,"Oslo, Norway",Norway,59.9,10.7,Climbing,,Beginner,2,163,74,27.9,42,61,0,4,Active,App-based,4.7
ATH_0199,Arjun Moore,33,Male,"Brasília, Brazil",Brazil,-15.7,-47.8,Triathlon,,Elite Amateur,13,179,73,22.8,56,30,1,1,Active,Email-focused,0.0
ATH_0200,Sota Brown,26,Male,"Valencia, Spain",Spain,39.4,-0.3,Swimming,,Elite Amateur,10,169,86,30.1,58,58,1,2,Active,Voice-focused,8.3
ATH_0201,Gabriel Bernard,28,Male,"Madrid, Spain",Spain,40.4,-3.7,Tennis,Football,Advanced,12,174,65,21.5,49,86,1,1,Active,Voice-focused,7.4
ATH_0202,Claire Bernard,57,Female,"Turin, Italy",Italy,45.0,7.6,Basketball,,Advanced,9,159,66,26.1,44,18,0,1,Active,Email-focused,4.5
ATH_0203,Francesca Bernard,41,Female,"Istanbul, Turkey",Turkey,41.0,28.9,Cycling,,Advanced,11,159,57,22.5,45,79,0,2,Active,Email-focused,3.5
ATH_0204,Chen Davis,24,Male,"Istanbul, Turkey",Turkey,41.0,28.9,Swimming,,Intermediate,8,171,81,27.7,50,52,0,3,Active,Mixed,9.7
ATH_0205,Julie Suzuki,41,Female,"Madrid, Spain",Spain,40.4,-3.7,Rowing,,Elite Amateur,20,160,50,19.5,52,61,1,4,Active,Voice-focused,8.8
ATH_0206,Inès Harris,44,Female,"Helsinki, Finland",Finland,60.1,24.9,Triathlon,,Advanced,10,161,56,21.6,48,29,1,1,Active,Mixed,9.0
ATH_0207,Karen Müller,34,Female,"Paris, France",France,48.8,2.3,Tennis,,Advanced,12,150,61,27.1,48,136,1,3,Active,Mixed,8.5
ATH_0208,Camille Harris,30,Female,"Austin, USA",USA,30.2,-97.7,Swimming,,Intermediate,3,155,63,26.2,42,99,0,1,Active,Voice-focused,8.4
ATH_0209,Arjun Gupta,42,Male,"Brisbane, Australia",Australia,-27.4,153.0,Triathlon,,Advanced,6,176,79,25.5,49,79,1,0,Active,Email-focused,3.2
ATH_0210,Steven Wilson,40,Male,"Beijing, China",China,39.9,116.4,Cycling,,Elite Amateur,14,172,76,25.7,56,115,1,5,Active,Mixed,7.6
ATH_0211,Antoine Sanchez,51,Male,"Frankfurt, Germany",Germany,50.1,8.6,Tennis,,Beginner,1,195,66,17.4,39,49,0,1,Active,Text-focused,3.6
ATH_0212,Laurent Schulz,40,Male,"Johannesburg, South Africa",South Africa,-26.2,28.0,Climbing,,Intermediate,3,201,88,21.8,48,29,1,0,Active,Email-focused,0.6
ATH_0213,Wu Shah,36,Male,"London, UK",UK,51.5,-0.1,Hiking,Triathlon,Advanced,12,174,69,22.8,52,87,0,0,Active,Mixed,8.3
ATH_0214,Valentina Yang,44,Female,"Shenzhen, China",China,22.5,114.1,Rowing,Hiking,Elite Amateur,17,164,65,24.2,50,75,1,0,Active,Mixed,7.2
ATH_0215,Kenji Walker,40,Male,"Pune, India",India,18.5,73.8,Rowing,Boxing,Beginner,1,185,74,21.6,38,76,1,5,Active,App-based,3.3
ATH_0216,Kimberly Thomas,24,Female,"Frankfurt, Germany",Germany,50.1,8.6,Hiking,Tennis,Beginner,3,156,80,32.9,41,49,1,3,Retired,App-based,0.3
ATH_0217,Emi Thompson,31,Female,"Birmingham, UK",UK,52.4,-1.9,Rugby,,Intermediate,6,172,74,25.0,40,39,0,1,Active,Text-focused,2.4
ATH_0218,Sophie Schneider,38,Female,"Birmingham, UK",UK,52.4,-1.9,Cycling,Skiing,Intermediate,5,171,56,19.2,41,87,1,5,Active,Email-focused,5.3
ATH_0219,Margaret Sharma,34,Female,"Seville, Spain",Spain,37.3,-5.9,Climbing,,Intermediate,7,154,63,26.6,39,72,1,1,Active,Email-focused,4.0
ATH_0220,Aisha Young,21,Female,"Helsinki, Finland",Finland,60.1,24.9,Triathlon,,Intermediate,4,166,63,22.9,44,58,1,3,Active,Voice-focused,7.6
ATH_0221,Robert Wilson,35,Male,"Guangzhou, China",China,23.1,113.2,Running,,Elite Amateur,19,168,82,29.1,57,46,0,1,Active,Email-focused,2.7
ATH_0222,Kiran Zhang,19,Male,"Moscow, Russia",Russia,55.7,37.6,Skiing,,Intermediate,3,179,60,18.7,54,120,1,5,Active,Mixed,7.1
ATH_0223,David Thompson,26,Male,"Vancouver, Canada",Canada,49.2,-123.1,Skiing,,Intermediate,5,187,90,25.7,48,41,0,1,Active,Voice-focused,6.1
ATH_0224,Elizabeth Martin,21,Female,"Bangkok, Thailand",Thailand,13.7,100.5,Rowing,,Intermediate,5,175,77,25.1,46,66,1,0,Active,Email-focused,5.8
ATH_0225,Ren Bianchi,27,Male,"Cologne, Germany",Germany,50.9,6.9,Tennis,Basketball,Advanced,10,178,68,21.5,52,68,1,4,Active,Email-focused,3.0
ATH_0226,Kimberly Singh,27,Female,"Cairo, Egypt",Egypt,30.0,31.2,Football,,Advanced,10,161,47,18.1,44,70,0,1,Active,Text-focused,5.5
ATH_0227,Claire Dubois,48,Female,"Cologne, Germany",Germany,50.9,6.9,Basketball,,Advanced,11,154,63,26.6,43,5,0,0,Active,Email-focused,1.4
ATH_0228,Markus Wilson,36,Male,"Houston, USA",USA,29.7,-95.3,Running,,Intermediate,4,175,78,25.5,47,126,1,0,Active,Mixed,7.7
ATH_0229,Haruki Ito,34,Male,"Moscow, Russia",Russia,55.7,37.6,CrossFit,,Intermediate,7,186,60,17.3,43,88,1,5,Active,Voice-focused,7.0
ATH_0230,Giulia Miller,51,Female,"Los Angeles, USA",USA,34.0,-118.2,Rugby,,Advanced,13,165,56,20.6,38,69,0,2,Active,Voice-focused,6.7
ATH_0231,Charles Harris,35,Male,"Cologne, Germany",Germany,50.9,6.9,Running,,Advanced,14,178,68,21.5,55,25,0,0,Active,App-based,1.4
ATH_0232,Richard Kato,55,Male,"Lagos, Nigeria",Nigeria,6.5,3.3,Volleyball,CrossFit,Advanced,11,180,68,21.0,52,121,1,2,Active,Voice-focused,9.5
ATH_0233,Ana Thomas,19,Female,"Helsinki, Finland",Finland,60.1,24.9,Volleyball,,Intermediate,3,161,69,26.6,43,51,0,0,Active,Text-focused,0.6
ATH_0234,Mei Garcia,45,Female,"Oslo, Norway",Norway,59.9,10.7,Cycling,Skiing,Intermediate,7,155,75,31.2,39,76,1,2,Active,Mixed,8.0
ATH_0235,Miguel Sasaki,26,Male,"Mexico City, Mexico",Mexico,19.4,-99.1,Triathlon,,Advanced,7,167,73,26.2,52,103,1,4,Active,Mixed,9.0
ATH_0236,Camille Zhang,32,Female,"Phoenix, USA",USA,33.4,-112.0,Volleyball,,Intermediate,3,167,64,22.9,40,14,1,0,Active,App-based,2.4
ATH_0237,James Bernard,44,Male,"Johannesburg, South Africa",South Africa,-26.2,28.0,Running,,Advanced,7,190,83,23.0,54,59,1,2,Active,Voice-focused,7.4
ATH_0238,Hans Lee,36,Male,"Mexico City, Mexico",Mexico,19.4,-99.1,Volleyball,,Advanced,14,180,95,29.3,57,19,1,1,Active,Text-focused,0.1
ATH_0239,Raj Schulz,22,Male,"Santiago, Chile",Chile,-33.4,-70.6,Skiing,,Intermediate,5,184,71,21.0,56,99,0,1,Active,Voice-focused,9.1
ATH_0240,Giorgio Miller,23,Male,"Santiago, Chile",Chile,-33.4,-70.6,Football,,Intermediate,5,167,78,28.0,53,43,1,1,Active,App-based,1.7
ATH_0241,Mohammed Schneider,39,Male,"Chennai, India",India,13.0,80.2,Skiing,,Advanced,15,172,90,30.4,50,26,0,0,Active,Voice-focused,8.5
ATH_0242,Nour Moore,40,Female,"Helsinki, Finland",Finland,60.1,24.9,Basketball,Volleyball,Advanced,13,170,54,18.7,45,17,1,1,Active,Text-focused,1.2
ATH_0243,Jennifer Weber,18,Female,"Houston, USA",USA,29.7,-95.3,Volleyball,Rugby,Intermediate,3,168,51,18.1,42,40,0,1,Active,Voice-focused,7.4
ATH_0244,Meera Weber,38,Female,"São Paulo, Brazil",Brazil,-23.5,-46.6,Running,,Advanced,15,171,67,22.9,41,36,1,0,Active,Text-focused,3.8
ATH_0245,Sophie Yang,23,Female,"Philadelphia, USA",USA,39.9,-75.1,Cycling,,Beginner,1,165,73,26.8,38,32,0,1,Active,App-based,2.7
ATH_0246,Anthony Tanaka,51,Male,"Rio de Janeiro, Brazil",Brazil,-22.9,-43.2,Skiing,Football,Intermediate,7,174,69,22.8,44,31,1,2,Active,Email-focused,3.1
ATH_0247,Arjun Yang,54,Male,"Tokyo, Japan",Japan,35.6,139.6,Hiking,Climbing,Beginner,1,169,77,27.0,41,61,0,2,Active,Voice-focused,8.5
ATH_0248,Pooja Zhang,19,Female,"Birmingham, UK",UK,52.4,-1.9,Triathlon,Climbing,Intermediate,3,157,64,26.0,44,56,0,1,Active,Text-focused,3.3
ATH_0249,Markus Patel,27,Male,"Istanbul, Turkey",Turkey,41.0,28.9,Boxing,,Advanced,11,189,72,20.2,48,114,1,7,Active,Mixed,9.6
ATH_0250,Federica Thomas,38,Female,"São Paulo, Brazil",Brazil,-23.5,-46.6,Basketball,,Elite Amateur,19,164,79,29.4,49,37,1,0,Active,Text-focused,5.0
ATH_0251,Davide Gonzalez,27,Male,"Cologne, Germany",Germany,50.9,6.9,Running,,Elite Amateur,10,167,79,28.3,62,117,0,0,Active,Mixed,7.4
ATH_0252,Klaus Sasaki,28,Male,"Busan, South Korea",South Korea,35.1,129.0,Boxing,,Advanced,11,169,92,32.2,53,53,1,1,Active,Voice-focused,9.6
ATH_0253,Francesco Wagner,25,Male,"Leeds, UK",UK,53.8,-1.5,Triathlon,,Advanced,8,171,73,25.0,55,44,1,2,Active,Mixed,6.5
ATH_0254,Emma Ramirez,42,Female,"Shenzhen, China",China,22.5,114.1,Swimming,,Intermediate,7,155,59,24.6,41,5,0,0,Active,Voice-focused,8.0
ATH_0255,Margaret Lewis,27,Female,"São Paulo, Brazil",Brazil,-23.5,-46.6,CrossFit,,Advanced,11,160,69,27.0,45,76,0,0,Active,Voice-focused,8.0
ATH_0256,Rosa Zhao,20,Female,"Austin, USA",USA,30.2,-97.7,Boxing,Climbing,Elite Amateur,10,155,53,22.1,49,71,0,1,Active,Mixed,8.0
ATH_0257,Barbara Colombo,28,Female,"São Paulo, Brazil",Brazil,-23.5,-46.6,Swimming,,Advanced,8,159,61,24.1,47,48,1,2,Active,App-based,4.3
ATH_0258,Lisa Rossi,26,Female,"Amsterdam, Netherlands",Netherlands,52.3,4.8,Hiking,CrossFit,Intermediate,5,163,51,19.2,50,28,1,1,Active,Email-focused,2.4
ATH_0259,Omar Anderson,20,Male,"São Paulo, Brazil",Brazil,-23.5,-46.6,Rugby,,Advanced,6,193,71,19.1,48,51,1,1,Retired,Mixed,9.6
ATH_0260,Klaus Anderson,25,Male,"Milan, Italy",Italy,45.4,9.1,Triathlon,Cycling,Advanced,7,187,82,23.4,52,29,1,0,Active,Email-focused,1.1
ATH_0261,Charles Rossi,41,Male,"Cologne, Germany",Germany,50.9,6.9,Boxing,,Advanced,8,169,76,26.6,51,76,0,3,Active,Email-focused,5.8
ATH_0262,Mei Greco,28,Female,"Osaka, Japan",Japan,34.6,135.5,Boxing,,Beginner,3,166,67,24.3,37,46,0,0,Active,Mixed,6.7
ATH_0263,Juan Schneider,45,Female,"Stuttgart, Germany",Germany,48.7,9.1,Football,,Intermediate,7,180,61,18.8,42,38,1,2,Active,Text-focused,1.8
ATH_0264,Miku Wagner,26,Female,"Pune, India",India,18.5,73.8,Climbing,Hiking,Intermediate,7,165,64,23.5,44,34,0,0,Active,Email-focused,0.2
ATH_0265,Rafael Shah,31,Male,"Seoul, South Korea",South Korea,37.5,126.9,Rowing,,Intermediate,4,171,85,29.1,48,80,0,5,Active,App-based,4.1
ATH_0266,Anna Johnson,27,Female,"Cologne, Germany",Germany,50.9,6.9,Boxing,Cycling,Advanced,10,161,65,25.1,47,34,1,1,Active,Email-focused,3.2
ATH_0267,Ying Müller,24,Female,"London, UK",UK,51.5,-0.1,Basketball,,Beginner,3,159,65,25.7,37,61,1,0,Active,Mixed,6.5
ATH_0268,Thomas White,35,Male,"Amsterdam, Netherlands",Netherlands,52.3,4.8,Rowing,,Advanced,13,169,91,31.9,51,98,1,5,Active,Voice-focused,9.0
ATH_0269,Valentina Patel,34,Female,"San Jose, USA",USA,37.3,-121.8,Basketball,,Intermediate,5,169,66,23.1,37,72,1,3,Active,Mixed,8.5
ATH_0270,Steven Watanabe,25,Male,"Valencia, Spain",Spain,39.4,-0.3,Skiing,,Advanced,7,168,50,17.7,56,29,1,1,Active,Email-focused,1.1
ATH_0271,Fang Greco,47,Female,"Munich, Germany",Germany,48.1,11.5,Tennis,,Intermediate,4,179,75,23.4,36,24,1,0,Active,Text-focused,1.4
ATH_0272,Lisa Scott,43,Female,"Santiago, Chile",Chile,-33.4,-70.6,Skiing,,Advanced,15,150,71,31.6,42,26,1,1,Active,Email-focused,4.4
ATH_0273,Lisa Reddy,28,Female,"Gothenburg, Sweden",Sweden,57.7,11.9,Football,,Beginner,3,160,69,27.0,32,38,1,1,Active,Email-focused,1.4
ATH_0274,Lucie Sharma,25,Female,"Rotterdam, Netherlands",Netherlands,51.9,4.4,CrossFit,Skiing,Intermediate,6,153,53,22.6,40,64,1,3,Active,Mixed,6.2
ATH_0275,Ren Petit,45,Male,"Naples, Italy",Italy,40.8,14.2,Volleyball,,Intermediate,4,176,96,31.0,45,29,1,1,Active,Email-focused,1.3
ATH_0276,Richard Schulz,27,Male,"Chicago, USA",USA,41.8,-87.6,Football,,Beginner,2,179,79,24.7,42,47,1,3,Active,Text-focused,5.6
ATH_0277,Miku Jones,53,Female,"Helsinki, Finland",Finland,60.1,24.9,Swimming,Rugby,Beginner,2,175,71,23.2,35,41,1,1,Active,App-based,1.5
ATH_0278,Mei Ito,32,Female,"Phoenix, USA",USA,33.4,-112.0,Cycling,Hiking,Advanced,9,169,77,27.0,47,5,1,0,Active,Text-focused,1.0
ATH_0279,Hong Clark,35,Female,"Kyoto, Japan",Japan,35.0,135.7,Triathlon,,Elite Amateur,13,175,48,15.7,49,36,1,1,Active,Email-focused,3.9
ATH_0280,Ren Müller,24,Male,"Istanbul, Turkey",Turkey,41.0,28.9,Triathlon,,Beginner,1,186,91,26.3,42,41,0,2,Active,Text-focused,3.6
ATH_0281,Emma Walker,38,Female,"Copenhagen, Denmark",Denmark,55.6,12.5,Volleyball,,Intermediate,6,176,61,19.7,40,26,1,0,Active,App-based,3.0
ATH_0282,Marco Ferrari,32,Male,"Stuttgart, Germany",Germany,48.7,9.1,Rowing,Basketball,Intermediate,7,170,73,25.3,46,73,1,1,Active,App-based,4.5
ATH_0283,Tariq Watanabe,44,Male,"Stuttgart, Germany",Germany,48.7,9.1,Basketball,,Advanced,9,185,65,19.0,53,23,0,1,Active,Text-focused,1.4
ATH_0284,Neha Bernard,41,Female,"Oslo, Norway",Norway,59.9,10.7,Cycling,,Beginner,1,172,69,23.3,36,82,1,1,Active,Voice-focused,7.4
ATH_0285,Daiki Romano,34,Male,"Rome, Italy",Italy,41.9,12.4,Skiing,,Beginner,1,183,77,23.0,37,25,0,1,Active,Email-focused,6.0
ATH_0286,Claire Davis,30,Female,"Lagos, Nigeria",Nigeria,6.5,3.3,Cycling,Skiing,Advanced,7,164,67,24.9,44,59,1,1,Active,Email-focused,1.9
ATH_0287,Matteo Nakamura,38,Male,"Moscow, Russia",Russia,55.7,37.6,Climbing,,Advanced,13,174,78,25.8,50,70,1,1,Active,Mixed,8.2
ATH_0288,Fatima Rossi,30,Female,"Oslo, Norway",Norway,59.9,10.7,Climbing,Rowing,Intermediate,8,169,54,18.9,44,41,1,1,Active,Email-focused,4.0
ATH_0289,Yang Colombo,25,Male,"Chicago, USA",USA,41.8,-87.6,Football,,Beginner,1,151,73,32.0,47,30,0,2,Active,App-based,2.6
ATH_0290,Barbara Desai,26,Female,"Osaka, Japan",Japan,34.6,135.5,Boxing,,Advanced,7,167,70,25.1,50,25,1,0,Active,Email-focused,2.7
ATH_0291,Matthew Colombo,34,Male,"Stockholm, Sweden",Sweden,59.3,18.0,Tennis,Rugby,Beginner,1,191,81,22.2,42,36,0,1,Active,App-based,2.7
ATH_0292,John Martin,45,Male,"Busan, South Korea",South Korea,35.1,129.0,Basketball,,Advanced,8,186,81,23.4,56,37,1,2,Retired,Email-focused,4.2
ATH_0293,Rosa Sharma,26,Female,"Rotterdam, Netherlands",Netherlands,51.9,4.4,Basketball,Swimming,Beginner,3,166,56,20.3,34,76,1,3,Active,Mixed,8.1
ATH_0294,Hiroshi Esposito,31,Male,"Lyon, France",France,45.7,4.8,CrossFit,,Intermediate,3,153,61,26.1,52,45,0,0,Active,Voice-focused,6.4
ATH_0295,Hiroshi Brown,34,Male,"Gothenburg, Sweden",Sweden,57.7,11.9,Rugby,Skiing,Semi-Pro,15,180,87,26.9,61,32,1,0,Active,Voice-focused,6.7
ATH_0296,Mei Greco,18,Female,"Berlin, Germany",Germany,52.5,13.4,Running,,Beginner,1,172,48,16.2,42,20,1,0,Active,Text-focused,2.6
ATH_0297,Yui Leroy,38,Female,"Chicago, USA",USA,41.8,-87.6,CrossFit,,Beginner,1,153,78,33.3,36,32,0,1,Active,Text-focused,1.8
ATH_0298,Anthony Williams,41,Male,"Rotterdam, Netherlands",Netherlands,51.9,4.4,Triathlon,,Elite Amateur,18,186,63,18.2,57,93,1,6,Active,Voice-focused,8.1
ATH_0299,David Allen,46,Male,"Brasília, Brazil",Brazil,-15.7,-47.8,Skiing,,Intermediate,5,173,90,30.1,44,67,1,4,Active,Mixed,9.7
ATH_0300,Francesca Torres,36,Female,"Madrid, Spain",Spain,40.4,-3.7,Climbing,Football,Intermediate,8,174,81,26.8,46,20,0,0,Active,Mixed,7.6
ATH_0301,Dorothy Ramirez,33,Female,"Liverpool, UK",UK,53.4,-2.9,Triathlon,,Elite Amateur,14,155,55,22.9,45,32,0,1,Active,Text-focused,3.8
ATH_0302,Jean Thomas,22,Male,"Stuttgart, Germany",Germany,48.7,9.1,Skiing,,Beginner,2,170,97,33.6,43,64,0,3,Active,Email-focused,5.1
ATH_0303,Betty Taylor,28,Female,"Stuttgart, Germany",Germany,48.7,9.1,Hiking,,Intermediate,7,184,66,19.5,39,29,1,0,Active,App-based,4.5
ATH_0304,Pierre Dubois,43,Male,"Seoul, South Korea",South Korea,37.5,126.9,Rowing,,Intermediate,4,182,85,25.7,50,55,0,2,Active,App-based,4.3
ATH_0305,Sanjay Marino,27,Male,"Toronto, Canada",Canada,43.6,-79.3,Boxing,,Intermediate,6,171,54,18.5,45,53,0,2,Active,App-based,3.4
ATH_0306,Lena Wilson,25,Female,"Chennai, India",India,13.0,80.2,Boxing,,Semi-Pro,12,151,67,29.4,57,54,1,0,Active,Voice-focused,6.7
ATH_0307,Miguel Gupta,43,Male,"Rotterdam, Netherlands",Netherlands,51.9,4.4,CrossFit,,Elite Amateur,17,176,71,22.9,54,61,1,0,Active,Voice-focused,6.9
ATH_0308,Aisha Mehta,21,Female,"Houston, USA",USA,29.7,-95.3,Skiing,,Advanced,6,168,75,26.6,50,65,1,1,Active,Voice-focused,6.7
ATH_0309,Yasmin Watanabe,23,Female,"São Paulo, Brazil",Brazil,-23.5,-46.6,CrossFit,Volleyball,Beginner,1,161,58,22.4,36,72,0,1,Active,Text-focused,4.0
ATH_0310,Yang Dupont,32,Male,"Stuttgart, Germany",Germany,48.7,9.1,Triathlon,,Beginner,2,182,81,24.5,44,117,0,0,Active,Mixed,9.0
ATH_0311,Lorenzo Colombo,26,Male,"New York, USA",USA,40.7,-74.0,Hiking,,Advanced,7,178,90,28.4,55,99,1,0,Active,Voice-focused,8.1
ATH_0312,Susan Wilson,26,Female,"Mumbai, India",India,19.0,72.8,Football,Tennis,Advanced,10,168,63,22.3,46,9,0,0,Active,Text-focused,1.8
ATH_0313,Giulia Rodriguez,42,Female,"Rotterdam, Netherlands",Netherlands,51.9,4.4,Rugby,,Intermediate,7,162,62,23.6,41,64,1,0,Active,Voice-focused,8.4
ATH_0314,Yui Ricci,23,Female,"Amsterdam, Netherlands",Netherlands,52.3,4.8,Football,Climbing,Intermediate,7,152,70,30.3,44,68,0,4,Active,Mixed,9.6
ATH_0315,James Thomas,28,Male,"Houston, USA",USA,29.7,-95.3,Skiing,Climbing,Advanced,12,163,79,29.7,52,13,1,0,Active,Email-focused,2.7
ATH_0316,Zhou Flores,26,Male,"Montreal, Canada",Canada,45.5,-73.5,Cycling,,Advanced,8,165,67,24.6,57,31,0,0,Active,Text-focused,5.3
ATH_0317,Barbara Bernard,58,Female,"Liverpool, UK",UK,53.4,-2.9,Boxing,,Elite Amateur,15,156,63,25.9,49,15,0,0,Active,Mixed,6.5
ATH_0318,Nana Zhang,22,Female,"Osaka, Japan",Japan,34.6,135.5,Rugby,,Beginner,2,168,66,23.4,34,5,0,0,Active,Text-focused,1.7
ATH_0319,Claire Jones,41,Female,"Naples, Italy",Italy,40.8,14.2,Triathlon,,Intermediate,5,157,70,28.4,43,86,1,0,Active,Voice-focused,9.7
ATH_0320,Joshua Sanchez,33,Male,"Warsaw, Poland",Poland,52.2,21.0,CrossFit,Tennis,Intermediate,5,190,67,18.6,53,75,0,4,Active,Voice-focused,6.6
